id,Will_Buy_EV
668665,0.0497113482614725
668666,0.10321056941329887
668667,0.03699740967174959
668668,0.010658580261134677
668669,0.0848459580903359
668670,0.01975923600195463
668671,0.7655679679274437
668672,0.0007414764009660141
668673,0.8948159769912526
668674,0.026846958172040043
668675,0.6656067562086123
668676,0.8459221625608679
668677,0.03897845910213737
668678,0.8115952614269613
668679,0.17330316739798488
668680,0.3370821504430538
668681,0.008367853127994507
668682,9.975675698034616e-05
668683,0.35758431274439795
668684,0.29911663753371676
668685,0.0013451742795939346
668686,0.0027161389527342833
668687,0.023948199515185342
668688,0.9083213008353863
668689,0.000160895747626378
668690,0.06959524929038648
668691,0.005105849015515087
668692,0.01470131980334529
668693,0.541613176454455
668694,0.8817914270198244
668695,0.09114826860103457
668696,0.554450764104465
668697,0.3529272981697349
668698,0.001036598351187411
668699,0.4197356590895584
668700,0.01726957944379792
668701,0.8119942105087183
668702,0.9760897512413217
668703,0.7757164748078954
668704,0.0014636994148608173
668705,0.04941574703864549
668706,0.005645911381163957
668707,0.0008426194735226149
668708,0.0023989895739896737
668709,0.47990183670219566
668710,0.11843582084491205
668711,0.7616225031647008
668712,3.2768637675644095e-05
668713,0.856541158799097
668714,0.0010418247235025027
668715,0.9342235448521086
668716,0.7065218735301569
668717,0.8361708590558298
668718,0.2744463278580495
668719,5.213384918874286e-05
668720,0.9718827167007096
668721,0.9794526245023085
668722,0.9312525248732197
668723,0.004146015719146
668724,0.7799308554603576
668725,0.8981274383287198
668726,0.9423270019160592
668727,0.46596230685895773
668728,0.5289434182123621
668729,0.0003122583084709581
668730,0.0002682278169413886
668731,0.9216908598716638
668732,0.0576961617693675
668733,0.08136305101372847
668734,0.02910994458431377
668735,0.0016387686732957252
668736,0.021129208124627593
668737,0.02845495880597229
668738,0.9356243527178263
668739,0.9755558950585136
668740,0.0010373631895438317
668741,0.3784004591515053
668742,0.027124591932798765
668743,0.04341272469673924
668744,0.0024196496557633285
668745,0.32490733802236216
668746,0.0007116842729645317
668747,0.4478003632491782
668748,0.4383044102015519
668749,0.34693917900491794
